industry_category,stock_id,stock_name,type,date
上櫃ETF,00799B,國泰A級醫療債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00799B,國泰A級醫療債,tpex,2024-12-31
ETF,0080,恒中國,twse,2024-12-05
ETF,0081,恒香港,twse,2024-12-05
ETF,008201,BP上證50,twse,2025-11-07
ETF,00830,國泰費城半導體,twse,2025-11-15
上櫃指數股票型基金(ETF),00831B,新光美債1-3,tpex,2024-07-17
上櫃ETF,00834B,第一金金融債10+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00834B,第一金金融債10+,tpex,2024-12-31
上櫃ETF,00836B,永豐10年A公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00836B,永豐10年A公司債,tpex,2024-12-31
上櫃指數股票型基金(ETF),00838B,永豐7-10年中國債,tpex,2022-05-29
上櫃ETF,00840B,凱基IG精選15+,tpex,2025-11-14
上櫃指數股票型基金(ETF),00840B,凱基IG精選15+,tpex,2024-12-31
上櫃ETF,00841B,凱基AAA-AA公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00841B,凱基AAA-AA公司債,tpex,2024-12-31
上櫃ETF,00842B,台新美元銀行債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00842B,台新美元銀行債,tpex,2024-12-31
上櫃指數股票型基金(ETF),00843B,台新中國政策債,tpex,2022-07-22
上櫃ETF,00844B,新光15年IG金融債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00844B,新光15年IG金融債,tpex,2024-12-31
上櫃ETF,00845B,富邦新興投等債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00845B,富邦新興投等債,tpex,2024-12-31
上櫃ETF,00846B,富邦歐洲銀行債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00846B,富邦歐洲銀行債,tpex,2024-12-31
上櫃ETF,00847B,中信美國市政債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00847B,中信美國市政債,tpex,2024-12-31
上櫃ETF,00848B,中信新興亞洲債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00848B,中信新興亞洲債,tpex,2024-12-31
上櫃ETF,00849B,中信EM主權債0-5,tpex,2025-11-14
上櫃指數股票型基金(ETF),00849B,中信EM主權債0-5,tpex,2024-12-31
ETF,00850,元大臺灣ESG永續,twse,2025-11-15
ETF,00851,台新全球AI,twse,2025-11-15
ETF,00852L,國泰美國道瓊正2,twse,2025-11-15
上櫃ETF,00853B,統一美債10年Aa-A,tpex,2025-11-14
上櫃指數股票型基金(ETF),00853B,統一美債10年Aa-A,tpex,2024-12-31
上櫃ETF,00856B,永豐1-3年美公債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00856B,永豐1-3年美公債,tpex,2024-12-31
上櫃ETF,00857B,永豐20年美公債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00857B,永豐20年美公債,tpex,2024-12-31
上櫃ETF,00858,永豐美國500大,tpex,2025-11-14
上櫃指數股票型基金(ETF),00858,永豐美國500大,tpex,2024-12-31
上櫃ETF,00859B,群益0-1年美債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00859B,群益0-1年美債,tpex,2024-12-31
上櫃ETF,00860B,群益1-5Y投資級債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00860B,群益1-5Y投資級債,tpex,2024-12-31
ETF,00861,元大全球未來通訊,twse,2025-11-15
上櫃ETF,00862B,中信投資級公司債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00862B,中信投資級公司債,tpex,2024-12-31
上櫃ETF,00863B,中信全球電信債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00863B,中信全球電信債,tpex,2024-12-31
上櫃ETF,00864B,中信美國公債0-1,tpex,2025-11-14
上櫃指數股票型基金(ETF),00864B,中信美國公債0-1,tpex,2024-12-31
ETF,00865B,國泰US短期公債,twse,2025-11-15
ETF,00866,新光Shiller CAPE,twse,2024-12-05
上櫃ETF,00867B,新光A-BBB電信債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00867B,新光A-BBB電信債,tpex,2024-12-31
上櫃ETF,00870B,元大15年EM主權債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00870B,元大15年EM主權債,tpex,2024-12-31
ETF,00875,國泰網路資安,twse,2025-11-15
ETF,00876,元大全球5G,twse,2025-11-15
上櫃ETF,00877,復華中國5G,tpex,2025-11-14
上櫃指數股票型基金(ETF),00877,復華中國5G,tpex,2024-12-31
ETF,00878,國泰永續高股息,twse,2025-11-15
ETF,00881,國泰台灣科技龍頭,twse,2025-11-15
ETF,00882,中信中國高股息,twse,2025-11-15
上櫃ETF,00883B,中信ESG投資級債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00883B,中信ESG投資級債,tpex,2024-12-31
上櫃ETF,00884B,中信低碳新興債,tpex,2025-11-14
上櫃指數股票型基金(ETF),00884B,中信低碳新興債,tpex,2024-12-31
ETF,00885,富邦越南,twse,2025-11-15
上櫃ETF,00886,永豐美國科技,tpex,2025-11-14
上櫃指數股票型基金(ETF),00886,永豐美國科技,tpex,2024-12-31
上櫃ETF,00887,永豐中國科技50大,tpex,2025-11-14
上櫃指數股票型基金(ETF),00887,永豐中國科技50大,tpex,2024-12-31
